Figure Numer,notes,Caption,AltText
5.5,,"Average along shelf position for a group of 48 species resident on the Northeast US Continental Shelf. Distance is along a transect running from Cape Hatteras, North Carolina to Cape Sable, Nova Scotia, so increasing distance reflects net movement to the Northeast along the transect.","Time series describing average along shelf position for a group of 48 species resident on the Northeast US Continental Shelf. The X-axis shows time in years ranging from 1968 to 2014 and the Y-axis shows movement to the northeast along a transect running from Cape Hatteras, North Carolina to Cape Sable, Nova Scotia ranging from 700 to 1000. Spring shows increasing trend above the normal range and fall shows an increasing trend within the normal range in the last 5 years. "
5.6,,Change in condition presented as normalized time series from high (dark blue) to low (light blue) condition.,"Tile plot describing fish condition on the northeast shelf. For most species, condition was better in the 90’s, poorer in the 00’s and increasing to better condition again since about 2010. "
5.7,,Change in recruits per spawner presented as normalized time series for 20 groundfish stocks 1985-2010 from NEFSC stock assessment reports.,Time series describing groundfish recruitment. The X-axis shows time in years ranging from 1985 to 2010. The Y-axis shows the recruitment index anomaly ranging from -20 to 20. Overall there was higher recruitment in the 90’s with most groundfish species showing positive anomaly values. However most were negative from roughly 2000 to 2010. 
5.8,,Trends in sea scallops for Georges Bank (GB) and the Mid Atlantic Bight (MAB) based on assessments.,Time series describing scallop abundance in two EPUS (Georges Bank – GB and Mid-Atlantic Bight – MAB). The X-axis shows time in years ranging from 1975 to 2013. The Y-axis shows abundance based on assessments. GB shows an increasing trend well above the normal range while MAB shows no trend and values within the normal range in the last 5 years. 
5.9,,"Lobster trends in the Gulf of Maine (GOM), Georges Bank (GB) and Southern New England (SNE).","Time series describing spring and fall Lobster trends in the Gulf of Maine (GOM), Georges Bank (GB) and Southern New England (SNE). The X-axis shows time in years ranging from 1980 to 2014. GOM lobster in both spring and fall have an increasing trend and have values well about the normal range. GB lobster show values above the normal range with no trend in the spring and a decreasing trend in the fall over the past 5 years. SNE lobster values fall within the normal range and there is no trend in the fall but an increasing trend in the spring over that past 5 years. "
6.1,,"Total landings for the Gulf of Maine (GOM), Georges Bank (GB) and the Mid-Atlantic Bight (MAB).","Time series describing total landings in the three EPUs (Gulf of Maine – GOM, Georges Bank – GB, Mid-Atlantic Bight – MAB). The X-axis shows time in years ranging from 1960 to 2013. The Y-axis shows total landings and in all three regions there is no trend and all values fall relatively close to the long-term mean in the last five years. "
6.2,,Trends in fishery revenues by gear type on the Northeast Shelf.,"Time series describing revenues by gear type on the Northeast Shelf. The X-axis shows time in years ranging from 1960 to 2013. In the last 5 years, revenues from dredge and handline have been decreasing while all other gear types show no trend. Dredge, Other and Pot gear have values above the normal range and Otter Trawl values are below the normal range. All other gear types fall within the normal range in the last 5 years of the time series. "
6.3,,Trends in recreational harvest (fish taken for consumption) and caught and released fish., Time series describing trends in recreational harvest and catch and releases. The X-axis shows time in years ranging from 1980 to 2013. Recreational harvest in the last 5 years has been below the normal range with no trend. Recreational releases has fallen within the normal range with no overall trend in the last 5 years. 
6.4,,Farmed salmon yield and value in Maine (production and value estimates not available after 2010 due to confidentiality requirements).,Time series of farmed salmon yield and value Maine. The X-axis show time in years ranging from 1990 to 2010. There are no values in the last 5 years because production and value estimates not available after 2010 due to confidentiality requirements. Both yield and value peaked in 2000 and fell between 2000 and 2010. 
7.1,,Fishing mortality (F) relative to Fmsy and Biomass (B) relative to Bmsy for Northeast stocks with known status.,"Scatterplot describing stock status for all stocks managed by the Mid-Atlantic and New England Fisheries Management Councils. The X-axis shows Stock biomass over biomass at maximum sustainable yield ranging from zero to 3.5. The Y-axis shows stock fishing mortality over fishing mortality at maximum sustainable yield ranging from zero to 3.5. Currently a total of 9 NES stocks out of 32 recently assessed are classified as overfished (biomass less than one half of their biomass at maximum sustainable yield). These include Southern New England winter flounder, ocean pout, halibut, Gulf of Maine cod, Northern windowpane flounder, Cape Cod-Gulf of Maine yellowtail flounder, witch flounder, Georges Bank cod, and Georges Bank yellowtail."
7.2,,Trends in harbor seal and right whale population size on the Northeast Shelf.,Time series describing protected species (harbor seal and right whale) population. The x-axis shows time in years ranging from 1980 to 2014. The y-axis shows population size ranging from 10k to 80k for harbor seal and 200 to 500 for right whale. In the last five years there is only one/two data points for both species and they are well above the long term averages. 
7.3,,Trends in fledging success of puffins and arctic terns on nesting colonies on islands in the Gulf of Maine.,Time series describing seabird (Puffin and Artic Tern) reproductive success. The x-axis shows time in years ranging from 2000 to 2014 and the y-axis shows fledging success ranging from 0.4 to 1.2. Both puffin and artic tern reproductive success is well below the mean and puffin show a decreasing trend in the last 5 years. 
8.1,,"Trends in mercury, lead, and DDT in two NES ecoregions.","Time series describing trends in mercury, lead and DDT in mussels in the Gulf of Maine (GOM) and Mid-Atlantic Bight (MAB). The x-axis shows time in years ranging from 1980 to 2014. The y-axis shows mercury, lead and DDT respectively for both GOM and MAB. None of the 6 plots have sufficient data in the last five years to comment on trends. "
9.1,,"Composite index values for the Northeast U.S. Continental Shelf Large Marine Ecosystem. The first composite index is shown in the blue bars. The second composite index is shown in the red lines. The composite indices are based on climate, oceanographic, and ecological indicators but do not include fishery-related indicators.","Time series of composition indices on the NES. The x-axis shows time in years ranging from 1976 to 2012. The y-axis shows principle component score ranging from -6 to 8. The time series shows three distinct time chucks 1976-1987, 1988-2001, 2002-2012. The composite indices are based on climate, oceanographic, and ecological indicators but do not include fishery-related indicators."
9.2,,Composite fishery index values for the Northeast U.S. Continental Shelf Large Marine Ecosystem. The first composite index is shown in the blue line. The second composite index is shown in the red bars. The composite indices are based on landings data for species groups.,"Time series of composition indices on the NES. The x-axis shows time in years ranging from 1964 to 2012. The y-axis shows principle component score ranging from -6 to 4. The time series shows five distinct time chucks 1964-1967, 1968-1975, 1976-1989, 1990-2000, 2001-2012. The composite indices are based on landings data for species groups. "
1.1,,"Map of study region on the Northeast continental shelf of the United States, showing the ecological production units. The core of each EPU is bounded by white, and the nearshore and shelf break special considerations areas are to the west or east of the core areas respectively. MAB - Mid-Atlantic Bight; GB - Georges Bank; SS - Scotian Shelf; GoM - Gulf of Maine.",Map describing the four ecological production units (MAB - Mid-Atlantic Bight; GB - Georges Bank; SS - Scotian Shelf; GoM - Gulf of Maine).
1.2,,Time series of mean annual sea surface temperature of the Northeast Shelf with the output of the STARS regime shift detection algorithm (red line).,Time series describing sea surface temperature on the NES. The x-axis shows time in years ranging from 1860 to 2010. The y-axis shows sea surface temperature in Celsius ranging from 11 to 14. The STARS regime shift detection algorithm shows nine regime shift in the time series showing warming temperatures since the 1960s. 
2.1,,"Smoothed Atlantic Multidecadal Oscillation (AMO) and North Atlantic Oscillation (NAO) indices from 1900 to 2014 using a 10-year moving average and annual AMO and NAO indices from 1970 to 2014. The AMO is derived from the Kaplan SST dataset of the North Atlantic (NOAA ESRL). The NAO is derived from the principal component-based index, which is the leading mode of sea-level pressure anomalies in the North Atlantic (Hurrell 2013).",Time series of Smoothed Atlantic Multidecadal Oscillation (AMO) and North Atlantic Oscillation (NAO) indices. The x-axis shows time in years ranging from 1900 to 2014. The AMO is well above zero since about 1995 and the NAO has been negative since roughly 2005 when looked at with a 10-year moving average. 
2.2,fixed. Bug in html format (Beet),,Missing
2.3,,The Multivariate ENSO index (MEI) from 1950 to 2012 (based on annual means). Positive (negative) phases correspond to warm El Nino (cool La Nina) phases of the MEI (Wolter and Timlin 2011).,Time series describing the Multivariate ENSO index (MEI). The x-axis shows time in years ranging from 1950 to 2012. The y-axis shows index values ranging from -2 to 2. Positive (negative) phases correspond to warm El Nino (cool La Nina) phases of the MEI (Wolter and Timlin 2011). The time series ends on a positive value. 
2.4,,"NOAA GFDL's ESM2M projection of SST for the US NES LME under the IPCC high emission scenario [representative concentration pathway (RCP) 8.5]. The projection is based on SST anomalies calculated by subtracting the mean value from the historical period (1981 to 2005). The plot is a smoothed, 10-year running average.",Time series describing a sea surface temperature projection. The x-axis show time in years ranging from 1980 to 2100. The y-axis shows sea surface temperature anomaly in Celsius. Sea surface temperature is predicted to increase to about 2.5 degrees above the historical period (1981 – 2005) by the end of the century. 
2.5,,"NOAA GFDL's ESM2M projection of ocean surface pH for the U.S. NES LME under the IPCC high emission scenario [representative concentration pathway (RCP) 8.5]. The projection is based on pH anomalies calculated by subtracting the mean value from the historical period (1981 to 2005). The plot is a smoothed, 10-year running average.",Time series describing a ocean acidification projection. The x-axis show time in years ranging from 1980 to 2100. The y-axis shows surface pH anomaly ranging from zero to -0.3. Surface pH is predicted to decrease to about -0.3 below the historical period (1981 – 2005) by the end of the century. 
3.1,,"Index expressing the position of the north wall of the Gulf Stream and the wintertime North Atlantic Oscillation index, both expressed as standardized anomalies. A positive Gulf Stream anomaly indicates a northward shift in position.",Time series describing the NAO index and the Gulf Stream position anomaly. The x-axis shows time in years ranging from 1967 to 2014. There are two y-axes. One shows the NAO index ranging from -6 to 6 and the other shows the Gulf Stream position anomaly. The two follow each other quite closely and were above zero in the last three years of the time series. 
3.2,,"Relative proportion of water mass derived from Labrador Subarctic Slope Water (LSSW, blue) and Atlantic Temperate Slope Water (ATSW, red) in the deep northeast Channel of the Gulf of Maine. The wintertime North Atlantic Oscillation index is also shown, shifted forward in time by two years (gray bars).",Time series describing the lagged NAO index and the slope water proportions. The x-axis shows time in years ranging from 1967 to 2014. There are two y-axes. One shows the NAO index lagged by two years ranging from -6 to 6 and the other shows the slope water proportions shown for Labrador subarctic slope water and Atlantic temperate slope water and the percent of the total. There is traditionally more Atlantic temperate slope water than Labrador slope water. 
3.3,,"Relative proportion of water mass derived from Labrador Subarctic Slope Water in the deep northeast Channel of the Gulf of Maine (LSSW, blue) together with the Labrador Current volume transport computed from satellite altimetry along the southwestern flank of the Grand Banks of Newfoundland (red; courtesy of G. Han, DFO Canada). Positive transport is associated with equatorward flow.",Time series describing volume transport and percent Labrador subarctic slope water. The x-axis shows time in years ranging from 1987 20 2014. There are two y-axes. One shows Volume Transport (Sv) and the other shows percent Labrador subarctic slope water. They follow relatively closely and have mostly been above zero Sv and 10% in the last ten years of the time series. 
3.4,,"Trends in river flow from 25 rivers in the Middle Atlantic, southern New England and Gulf of Maine regions. Data are presented as a sum of monthly stream flows.","Time series of annual river flow in the three regions (Gulf of Maine – GOM, Southern New England - SNE, Mid-Atlantic Bight – MAB). The x-axis shows time in years ranging from 1950 to 2012. The y-axis show annual sum river flow in 103ft3s-1 ranging from 20 to 140. Mid-Atlantic shows the highest river flow, then GOM and then SNE. "
3.5,,"Annual averages of monthly mean wind stress near Cape Hatteras (blue), New York (green) and Georges Bank (red). The magnitude (top panel), east-west component (middle panel) and north-south component (bottom panel) of wind stress are shown.","Time series describing wind stress in three areas (Cape Hatteras, Georges Bank and New York).  The x-axis shows time in years ranging from 1967 to 2012. The y-axis shows wind stress in Nm-2. In magnitude, East-West and North-South, Georges Bank has the highest wind stress. "
3.6,,Long-term summer and winter sea surface temperatures averaged over the northeast U.S. continental shelf and adjacent waters from the ERSSTv3b dataset.,"Time series of temperature on the Northeast Shelf in the winter and summer. The x-axis shows time in years ranging from 1850 to 2010. The y-axis shows mean temperature in Celsius. The mean temperature in summer is 19, winter is 8 and the difference between is 11 degrees. Mean temperature in Summer, Winter and the difference between were all above the mean in the last years of the time series. "
3.7,,Annual mean surface (red) and bottom (blue) water temperatures from the NEFSC survey programs from the four Ecological Production Units.,"Time series describing annual mean surface and bottom temperature in the four ecological production units (Scotian Shelf – SS, Gulf of Maine – GOM, Georges Bank – GB, Mid-Atlantic Bight – MAB). The x-axis shows time in years ranging from 1977 to 2014 and the y-axis shows temperature in Celsius ranging from 6 to 16. MAB and GOM have a much greater difference between surface and bottom temperatures compared to GB and SS. "
3.8,,Annual mean surface (red) and bottom (blue) salinities from the NEFSC survey programs from the four Ecological Production Units.,"Time series describing annual mean surface and bottom salinities in the four ecological production units (Scotian Shelf – SS, Gulf of Maine – GOM, Georges Bank – GB, Mid-Atlantic Bight – MAB). The x-axis shows time in years ranging from 1977 to 2014 and the y-axis shows salinity ranging from 31 to 35. SS and GOM have a much greater difference between surface and bottom salinities compared to GB and MAB. "
3.9,,Annual mean density stratification calculated between the surface and 50 meters depth from the NEFSC survey programs from the four Ecological Production Units.,"Time series describing annual mean density stratification in the four ecological production units (Scotian Shelf – SS, Gulf of Maine – GOM, Georges Bank – GB, Mid-Atlantic Bight – MAB). The x-axis shows time in years ranging from 1987 to 2014 and the y-axis shows Stratification in kgm3m-1.  Stratification is highest in MAB, then GB, then SS, then GOM. GB, SS and GOM final points relatively close to the mean while MAB is below. "
4.1,present above (Beet),,Missing
4.2,,The 'span' represents difference between the maximum and a minimum chlorophyll and primary production values in 2012 from MODIS-Aqua data.,Map describing the difference between the min and max chlorophyll and primary production on the US Northeast Shelf for 2012.  MAB and Southern GB saw the biggest difference between min and max chlorophyll while GOM and SS showed the biggest difference between min and max primary production. 
4.3,,The first spatial mode of chlorophyll derived from an Empirical Orthogonal Function (EOF).,"Map describing the first spatial mode of chlorophyll derived from an Empirical Orthogonal Function (EOF). The plots shows lower spatial amplitude on western Georges Banka and southern Gulf of Maine. All of the Mid-Atlantic Bight, Scotian Shelf, Northern gulf of Maine and eastern Georges Bank have relatively higher spatial amplitude. "
4.4,,Phytoplankton color index anomalies for the Gulf of Maine and Mid-Atlantic Bight continuous plankton recorder transects.,"Time series describing phytoplankton color index in the Gulf of Maine – GOM, and Mid-Atlantic Bight – MAB. The x-axis shows time in years ranging from 1978 to 2009. The y-axis shows color index standardized anomaly ranging from -1 to 1. MAB has had higher color index since about 2003. "
4.5,cant find reference to this in doc (Beet),,Missing
4.6,,Interpolated chlorophyll time series for each ecological production unit. Note the data are displayed on a log10 scale,"Time series of interpolated chlorophyll for each ecological production unit (Gulf of Maine – GOM, Scotian Shelf – SS, Georges Bank – GB and Mid-Atlantic Bight – MAB). The x-axis shows time in months spanning a full year. GB shows the strongest spring bloom while GOM and SS show a sharp spring bloom and longer fall bloom. MAB shows elevated chlorophyll throughout the late fall/winter months. "
4.7,,"Seasonal total, microplankton (> 20 µm) and nano+picoplankton (< 20 µm) chlorophyll concentrations. Winter - December, January and February; Spring - March, April and May; Summer - June, July and August; Fall - September, October and November","Maps describing total chlorophyll, microplankton and nano+picoplankton for each season on the Northeast shelf. Total chlorophyll is the highest in the spring and fall especially on Georges Bank. There is more nano+picoplankton than microplankton. Winter and summer show very low microplankton in gulf of Maine. "
4.8,,Diatom and dinoflagellate to total phytoplankton ratio anomalies for the Gulf of Maine and Mid-Atlantic Bight continuous plankton recorder transects,"Time series describing diatom and dinoflagellate to total phytoplankton ratio anomalies for the Gulf of Maine and Mid-Atlantic Bight. The x-axis shows time in years ranging from 1977 to 2010 and the y-axis shows the ratio of total phytoplankton standardized anomaly ranging from -1 to 1. In the Gulf of Maine, there has been more dinoflagellates since 2007. In the Mid-Atlantic Bight that have been more diatoms since 1999. "
4.9,,"Time series of zooplankton biovolume. Anomaly values are presented, which represent the annual average of monthly anomalies.",Time series describing zooplankton abundance in four regions of the Northeast shelf. The x-axis shows time in years ranging from 1977 to 2012 and the y-axis shows zooplankton biovolume anomaly ranging from -4 to 4.  All four regions show relatively similar trend in zooplankton abundance. Less in the 80’s and more in the 90’s and 00’s. 
4.1,,Total zooplankton abundance anomaly for the Gulf of Maine and Mid-Atlantic Bight continuous plankton recorder transects.,Time series describing total zooplankton abundance anomaly for the Gulf of Maine and Mid-Atlantic Bight. The x-axis shows time in years ranging from 1977 to 2010 and the y-axis shows total zooplankton standardized anomaly ranging from -1 to 1. Total zooplankton was lower in the 80’s and then greater since about 1988.
4.11,,Time series of total copepod abundance. Annual averages are presented.,"Time series describing total copepod abundance for each ecological production unit (Gulf of Maine – GOM, Scotian Shelf – SS, Georges Bank – GB and Mid-Atlantic Bight – MAB). The x-axis shows time in years ranging from 1975 to 2014. The y-axis shows the standardized annual anomaly ranging from -1 to 1. All four EPUs follow each other quite closely with fewer copepods in the 80s and 00s and an increase in the 90s and since 2010.  "
4.12,,"Zooplankton size index comparing the abundance of small (C. typicus, C. hamatus, T. longicornis, and Pseudocalanus) and large copepods (C. finmarchichus). This relatively simple indicator shows changes in community structure that is consistent with more statistically rigorous methods (see Fig 4.13).","Time series describing mean small-large copepod abundance for each ecological production unit (Gulf of Maine – GOM, Scotian Shelf – SS, Georges Bank – GB and Mid-Atlantic Bight – MAB). The x-axis shows time in years ranging from 1975 to 2014. The y-axis shows the mean small-large zooplankton anomaly ranging from -2 to 2. All four EPUs follow each other quite closely showing a decrease in the 00s and an increase back towards zero since about 2003. "
4.13,,Time series of abundance the dominant trend in phytoplankton species composition and zooplankton species composition. The phytoplankton data is from the Continuous Plankton Recorder in the Gulf of Maine eco-region and the zooplankton data is from the net survey in the Georges Bank ecoregion.,"Time series describing Phtyoplankton and zooplankton abundance. The x-axis shows time in years ranging from 1975 to 2014 and the y-axis shwos multipvariate axis 1 ranging from -2 to 2. Phytoplankton and zooplankton follow each other quite closely, showing lower values in 80s and 00s and higher values in the 90s. "
4.14,,"Siphonophore and salp abundance anomaly (per 100 m3) as a function of year for Georges Bank, Gulf of Maine, Scotian Shelf (A), and the Middle Atlantic Bight (B). Note different scales between A and B.",Time series describing Siphonophore and salp abundance in New England and Mid-Atlantic. The x-axis shows time in years ranging from 1977 to 2014 and the y-axis shows gelatinous zooplankton abundance anomaly in 100m-3. New has a much wider range of anomaly values but in both regions salps and siphonophore abundance follow similar trends. 
4.15,,"Percent frequency of occurrence of ctenophores across the Northeast Continental Shelf as a function of year as indicated by gut content analysis of the spiny dogfish, Squalus acanthias. The dotted line indicates time series mean of 11.9%.",Time series describing ctenophore occurrence across the Northeast Shelf. The x-axis shows time in years ranging from 1977 to 2012 and the y-axis shows ctenophores in percent frequency of occurrence ranging from zero to 30. The mean falls at about 12 and the last two years are below the mean. 
4.16,,"Time series of other zooplankton species for each of the Ecological Production Units. Anomaly values are presented, which represent the annual average of monthly anomalies.","Time series describing appendicularia, chaetognath, euphausiid and amphipod zooplankton abundance for each ecological production unit (Gulf of Maine – GOM, Scotian Shelf – SS, Georges Bank – GB and Mid-Atlantic Bight – MAB). The x-axis shows time in years ranging from 1977 to 2012 and the y-axis shows the standardized annual anomaly ranging from -1.5 to 1.5. All EPUs show an increase above zero in the last few years of the time series. "
5.1,,"Biomass indices for (a) American lobster from NEFSC autumn bottomtrawl surveys on the Scotian Shelf, Gulf of Maine and Georges Bank, (b) Northern shrimp from R/V Gloria Michelle summer surveys, (c) crab species based on NEFSC bottom trawl surveys, and (d) Cancer crabs and selected echinoderm genera based on NEFSC scallop surveys.","Time series describing (a) American lobster from NEFSC autumn bottomtrawl surveys on the Scotian Shelf, Gulf of Maine and Georges Bank, (b) Northern shrimp from R/V Gloria Michelle summer surveys, (c) crab species based on NEFSC bottom trawl surveys, and (d) Cancer crabs and selected echinoderm genera based on NEFSC scallop surveys. a) the x-axis shows time in years ranging from 1978 to 2014 and the y-axis shows survey index in log kg tow -1. All three EPUs show and increase through time. b) the x-axis shows time in years ranging from 1984 to 2014 and the y-axis shows survey index in log kg tow -1. There is a peak around 2006 and then steep decline since then down to almost no shrimp on the R/V Gloria Michelle. c) the x-axis shows time in years ranging from 1978 to 2014 and the y-axis shows survey index in log kg tow -1. All four EPUs show and increase through time. d) the x-axis shows time in years ranging from 1999 to 2010 and the y-axis shows survey index in log kg tow -1. More astropecten are caught on the Scallop survey, then Asterias and then cancer crabs. "
5.2,,"Biomass trends of sea scallops, ocean quahogs and Atlantic surfclamsfrom stock assessment model output (see [NEFSC 2014; NEFSC 2009; NEFSC 2013] respectively).","Time series describing shellfish (Scallop, Ocean Quahog, Surfclam) biomass. The x-axis shows time in years ranging from 1975 to 2014. Scallopes have increased in GB since the 90s, MAB was following the same trend but has been decreasing in the last ten year of the time series. MAB Surfclams and Quahogs are also decreasing while their GB counterparts remain relatively stable. "
5.3,,"Index of relative abundance for macrobenthos species groups (3 yr blocks). Indices are based on using fish predators as samplers, representing how often one of these organism groups occurs in stomachs of fish sampled in this ecosystem.",Time series of benthos groups in fish stomach. The x-axis shows time in years ranging from 1970 to 2015 and the y-axis shows time in years ranging from 1975 to 2014 and the y-axis shows percent frequency of occurrence in stomachs. Hermit crabs and sea urchins are rarely found in stomachs though they use to be more common in the 70-80s. Sea stars are often found in haddock stomachs and increasingly more commonly found in AmPl stomachs. Sand dollars are often found in OP. Sea cucumbers and brittle stars are commonly found in Haddock stomachs as well as cod and AmPl stomachs.
6.1,,Survey indices (mean catch per tow) of aggregate species groups caught during NEFSC autumn bottom trawl surveys.,"Time series describing Aggregate group (elasmobranchs, groundfish, small pelagics, and other fish) biomass. The x-axis shows time in years ranging from 1960 to 2014 and the y-axis shows relative biomass in kg tow-1. Elasmobranchs, groundfish ad small pelagics have been increasing while other fish biomass has been decreasing over the last ten years of the time series.  "
6.2,,Total fish biomass estimates from NEFSC autumn bottom trawl surveys disaggregated by each ecological production unit.,"Time series describing total fish biomass for each ecological production unit (Gulf of Maine – GOM, Scotian Shelf – SS, Georges Bank – GB and Mid-Atlantic Bight – MAB). The x-axis shows time in years ranging from 1960 to 2014 and the y-axis shows total biomass in 109 kg. GB has been increasing since about 1970. GOM and MAB are decreasing and SS has stayed relatively the same through the time series. "
6.3,,Ratio of pelagic to demersal fish biomasses caught in NEFSC autumn bottom trawl surveys disaggregated by each ecological production unit.,"Time series describing pelagic/demersal biomass for each ecological production unit (Gulf of Maine – GOM, Scotian Shelf – SS, Georges Bank – GB and Mid-Atlantic Bight – MAB). The x-axis shows time in years ranging from 1960 to 2014 and the y-axis shows the ratio of pelagics to demersal fish biomasses. GB has been increasing since about 1970. GOM and MAB have plateaued at about 1:1 and SS has stayed mostly below the 1:1 line. "
6.4,,The mean expected number of species from the NEFSC autumn bottom trawl survey by ecological production units. Tows were standardized using 100 individuals.,"Time series describing number of species expected in the NEFSC fall survey for each ecological production unit (Gulf of Maine – GOM, Scotian Shelf – SS, Georges Bank – GB and Mid-Atlantic Bight – MAB). The x-axis shows time in years ranging from 1960 to 2014 and the y-axis shows mean expected number of species (n). MAB showed relatively low expected n through most of the time series but has been increasing since about 2000. MAB, GOM and SS all end up with about the same expected n with GB just a bit lower. "
6.5,,Average length (cm) of all finfish species caught in NEFSC autumn bottom trawl surveys disaggregated by each ecological production unit.,"Time series describing Average length (cm) of all finfish species caught in NEFSC autumn bottom trawl survey for each ecological production unit (Gulf of Maine – GOM, Scotian Shelf – SS, Georges Bank – GB and Mid-Atlantic Bight – MAB). The x-axis shows time in years ranging from 1960 to 2014 and the y-axis shows average length in centimeters ranging from 10 to 50. SS has been decreasing since 1990. GOM has been relatively steady since 1990 but shows a slight increase since 2010. GB has been slowly decreasing since 1980 and MAB had a steep decline from 1960 to 1975 but has been steady since. "
6.6,,Mean trophic level of all finfish species caught in NEFSC autumn bottom trawl surveys disaggregated by each ecological production unit.,"Time series describing mean trophic level of all finfish species caught in NEFSC autumn bottom trawl survey for each ecological production unit (Gulf of Maine – GOM, Scotian Shelf – SS, Georges Bank – GB and Mid-Atlantic Bight – MAB). The x-axis shows time in years ranging from 1960 to 2014 and the y-axis shows mean trophic level ranging from 3.2 to 4.6. SS, GOM and GB have been relatively stable throughout the time series. MAB had a decline from 1960 to 1990 the rebounded slight but shows a decreasing trend since about 2003."
6.7,,"Change in condition presented as normalized time series from high (dark blue) to low (light blue) condition, and sorted by species/stock group using principal components.",Tile plot describing fish condition in New England. The x-axis shows time in years ranging from 1990 to 2014 and the y-axis includes all stocks. The overall trend shows poorer condition in the 90s which seemed to improve between 2000 and 2010 and now we are seeing the return to poorer condition. 
